Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,01-Mar,CPA,Mis,Dis,Rec,PrgR,season
Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,1828,206,865,904,72,33,1828,1,1,100,0,0,873,3515,1642,0,8,0,7,4,993,5,21/22
Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,56,2,22,19,17,3,56,5,1,20,4,80,25,116,27,0,1,0,3,3,31,4,21/22
Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,306,11,56,179,74,7,306,9,3,33.3,6,66.7,149,568,264,3,4,0,5,6,180,10,21/22
Asmir Begović,ba BIH,GK,Everton,34,1987,3,97,90,97,0,0,0,97,0,0,,0,,34,240,138,0,0,0,0,0,26,0,21/22
Saïd Benrahma,dz ALG,FWMF,West Ham,25,1995,24.1,1121,12,136,422,577,87,1121,80,37,46.3,43,53.8,725,4411,2034,73,42,26,62,30,807,222,21/22
Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,1184,59,255,747,193,15,1184,20,14,70,6,30,760,3623,1781,20,21,2,12,13,898,11,21/22
Christian Benteke,be BEL,FW,Crystal Palace,30,1990,12.7,450,38,61,196,197,72,450,13,9,69.2,4,30.8,203,947,391,15,8,9,39,17,345,79,21/22
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,12.2,474,20,77,176,229,22,474,22,14,63.6,8,36.4,270,1466,653,27,20,3,15,19,295,75,21/22
Steven Bergwijn,nl NED,FWMF,Tottenham,23,1997,6.3,258,5,33,91,142,40,258,20,10,50,10,50,171,1294,728,26,16,10,28,14,203,53,21/22
Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,3.7,229,16,65,113,53,4,229,0,0,,0,,101,412,192,2,2,1,6,4,124,8,21/22
Mads Bidstrup,dk DEN,MF,Brentford,20,2001,0.5,20,2,8,10,2,0,20,0,0,,0,,6,21,10,0,0,0,2,1,9,0,21/22
Yves Bissouma,ml MLI,MF,Brighton,24,1996,23.5,1505,90,373,902,249,13,1505,51,34,66.7,17,33.3,839,5063,2211,40,39,7,32,25,978,16,21/22
Willy Boly,ci CIV,DF,Wolves,30,1991,10,663,76,373,278,17,6,663,6,3,50,3,50,367,1637,853,6,7,1,3,3,432,0,21/22
Jarrod Bowen,eng ENG,FW,West Ham,24,1996,33.1,1225,27,171,460,625,139,1225,88,50,56.8,38,43.2,710,4968,1928,74,43,43,65,52,769,204,21/22
Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4.3,158,24,77,79,5,2,158,2,1,50,1,50,62,242,125,1,0,0,4,1,72,0,21/22
Armando Broja,al ALB,FW,Southampton,19,2001,21.9,673,15,51,278,360,101,673,70,33,47.1,37,52.9,364,2447,1247,56,28,33,68,50,488,114,21/22
Josh Brownhill,eng ENG,MF,Burnley,25,1995,32.8,1528,77,321,828,401,32,1528,30,15,50,15,50,614,2557,992,18,29,6,40,18,749,37,21/22
Lewis Brunt,eng ENG,MF,Leicester City,20,2000,0.3,26,0,0,22,4,1,26,1,1,100,0,0,22,99,36,1,0,0,1,2,22,2,21/22
Bryan,es ESP,FWMF,Tottenham,20,2001,1,79,2,10,13,56,3,79,6,4,66.7,2,33.3,53,350,220,6,4,0,6,2,60,17,21/22
Emi Buendía,ar ARG,MFFW,Aston Villa,24,1996,21.1,1146,27,134,548,476,69,1146,64,40,62.5,24,37.5,673,3378,1622,40,41,7,42,41,806,84,21/22
Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16,782,129,417,326,42,22,782,0,0,,0,,340,1761,738,6,3,1,4,3,384,2,21/22
Dan Burn,eng ENG,DF,Brighton,29,1992,11.4,797,92,378,378,45,12,797,3,0,0,3,100,455,1946,1030,9,8,1,7,1,506,3,21/22
Jack Butland,eng ENG,GK,Crystal Palace,28,1993,8.5,296,259,295,1,0,0,296,0,0,,0,,162,755,337,0,0,0,0,0,138,0,21/22
Sam Byram,eng ENG,DF,Norwich City,27,1993,11.4,669,82,309,250,115,15,669,8,3,37.5,5,62.5,317,1495,692,11,7,2,8,4,332,16,21/22
Willy Caballero,ar ARG,GK,Southampton,39,1981,2,69,47,69,0,0,0,69,0,0,,0,,31,215,112,0,0,0,0,0,32,0,21/22
Moisés Caicedo,ec ECU,MF,Brighton,19,2001,7.3,358,21,81,193,91,13,358,10,7,70,3,30,179,736,405,9,9,1,10,10,206,8,21/22
Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,14.3,448,15,41,194,213,52,445,11,2,18.2,9,81.8,194,879,217,9,3,2,50,13,328,50,21/22
Chem Campbell,wls WAL,MF,Wolves,18,2002,0.1,11,0,0,3,8,1,11,0,0,,0,,5,30,11,0,0,0,0,0,9,4,21/22
João Cancelo,pt POR,DF,Manchester City,27,1994,35.9,3769,67,618,1931,1245,101,3769,106,56,52.8,50,47.2,2411,11313,5785,125,129,36,45,24,2749,270,21/22
Sergi Canós,es ESP,DFFW,Brentford,24,1997,23.1,1070,64,303,444,339,50,1070,50,23,46,27,54,581,3331,1833,52,44,12,47,25,601,100,21/22
Todd Cantwell,eng ENG,FWMF,Norwich City,23,1998,4.9,205,4,48,102,56,5,205,10,5,50,5,50,128,604,200,2,5,1,15,8,143,17,21/22
Matty Cash,pl POL,DF,Aston Villa,23,1997,37.5,2093,140,713,868,538,92,2093,59,33,55.9,26,44.1,1007,5923,2897,89,54,20,56,31,1030,174,21/22
Timothy Castagne,be BEL,DF,Leicester City,25,1995,23.6,1600,98,551,757,295,21,1600,19,6,31.6,13,68.4,781,3239,1657,32,22,0,27,11,947,115,21/22
Jonny Castro,es ESP,DF,Wolves,27,1994,11.4,735,22,194,348,202,21,735,25,14,56,11,44,404,2109,1081,25,16,9,21,20,483,56,21/22
Craig Cathcart,nir NIR,DF,Watford,32,1989,26.6,1209,204,662,497,55,11,1209,1,0,0,1,100,554,2073,917,6,6,0,6,2,636,0,21/22
Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,8.5,298,12,54,131,114,30,298,5,4,80,1,20,144,358,111,2,5,2,12,4,217,32,21/22
Kayky Chagas,br BRA,FW,Manchester City,18,2003,0.1,3,0,0,1,2,0,3,0,0,,0,,3,38,20,1,1,0,1,0,3,1,21/22
Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,16.1,1442,68,478,833,138,10,1442,12,10,83.3,2,16.7,816,3176,1703,24,34,0,10,7,1070,14,21/22
Calum Chambers,eng ENG,DF,Arsenal,26,1995,1.9,123,17,51,56,17,1,123,0,0,,0,,60,164,81,0,1,0,1,1,67,5,21/22
Calum Chambers,eng ENG,DF,Aston Villa,26,1995,9.2,573,100,328,224,25,8,573,1,0,0,1,100,344,1525,910,3,1,0,3,1,356,1,21/22
Daniel Chesters,eng ENG,MF,West Ham,19,2002,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,21/22
Ben Chilwell,eng ENG,DF,Chelsea,24,1996,6,420,9,85,143,195,24,420,6,3,50,3,50,207,925,485,14,7,4,13,3,258,46,21/22
Chiquinho,pt POR,DFFW,Wolves,21,2000,2.3,147,2,23,52,75,16,147,17,10,58.8,7,41.2,92,650,236,10,4,6,9,6,101,35,21/22
Hamza Choudhury,eng ENG,DFMF,Leicester City,23,1997,3.2,206,18,94,105,8,2,206,3,2,66.7,1,33.3,94,359,118,0,4,1,8,2,124,1,21/22
Andreas Christensen,dk DEN,DF,Chelsea,25,1996,16.6,1477,147,645,772,68,5,1477,4,4,100,0,0,823,3835,2215,14,15,0,3,1,1058,5,21/22
Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,17,2003,3.3,167,3,22,89,58,11,167,10,6,60,4,40,111,710,323,9,6,5,9,6,123,14,21/22
Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,11.3,464,73,258,175,33,22,464,5,4,80,1,20,231,807,361,2,3,0,3,2,259,6,21/22
Tom Cleverley,eng ENG,MF,Watford,31,1989,18,803,34,176,394,241,10,803,6,3,50,3,50,348,1052,397,8,13,5,16,16,440,40,21/22
Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,15,827,39,310,384,140,1,827,6,4,66.7,2,33.3,377,1769,840,14,9,0,10,4,443,25,21/22
Conor Coady,eng ENG,DF,Wolves,28,1993,37.3,1971,419,1300,649,31,19,1971,1,1,100,0,0,1144,5288,2626,6,3,1,6,1,1373,3,21/22
Séamus Coleman,ie IRL,DF,Everton,32,1988,29.5,1549,123,501,733,335,32,1549,49,34,69.4,15,30.6,697,3773,1872,40,30,4,30,20,713,77,21/22
Nathan Collins,ie IRL,DF,Burnley,20,2001,18.6,882,149,433,376,81,38,882,8,5,62.5,3,37.5,382,2003,944,7,6,2,10,4,375,8,21/22
Aaron Connolly,ie IRL,FWMF,Brighton,21,2000,1.7,33,0,0,13,20,4,33,2,0,0,2,100,22,121,38,3,0,0,2,2,22,7,21/22
Liam Cooper,sct SCO,DF,Leeds United,29,1991,20.2,1405,152,857,530,27,13,1405,4,3,75,1,25,748,3635,2147,7,3,0,9,1,822,2,21/22
Jack Cork,eng ENG,MF,Burnley,32,1989,18.6,740,39,130,492,121,10,740,13,7,53.8,6,46.2,309,1204,430,12,7,0,18,20,389,12,21/22
Maxwel Cornet,ci CIV,FWMF,Burnley,24,1996,19.6,664,17,95,212,364,81,663,38,13,34.2,25,65.8,355,1771,790,28,13,11,61,33,424,125,21/22
Hélder Costa,ao ANG,MF,Leeds United,27,1994,0.2,9,0,2,4,3,0,9,0,0,,0,,6,18,1,0,0,0,1,0,6,2,21/22
Vladimír Coufal,cz CZE,DF,West Ham,28,1992,24.5,1681,110,454,700,539,30,1681,23,15,65.2,8,34.8,778,4242,1992,51,38,5,30,15,888,119,21/22
Philippe Coutinho,br BRA,MFFW,Aston Villa,29,1992,14.8,815,7,57,441,330,47,815,43,21,48.8,22,51.2,568,3066,1595,48,36,9,35,20,632,62,21/22
Aaron Cresswell,eng ENG,DF,West Ham,31,1989,30.3,2312,126,674,1078,576,22,2312,17,8,47.1,9,52.9,1305,5741,2727,54,45,2,14,4,1497,99,21/22
Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,1.6,124,11,71,50,3,1,124,0,0,,0,,68,394,271,1,0,0,1,0,77,0,21/22
Cucho,co COL,FWMF,Watford,22,1999,12.7,545,19,78,196,277,39,545,39,18,46.2,21,53.8,308,1647,797,22,19,5,23,14,352,85,21/22
Marc Cucurella,es ESP,DF,Brighton,23,1998,34.3,2717,115,683,1205,848,53,2717,55,28,50.9,27,49.1,1431,6642,4085,104,64,8,40,15,1638,208,21/22
Luke Cundle,eng ENG,MF,Wolves,19,2002,2,116,3,30,68,18,1,116,1,0,0,1,100,48,188,103,3,1,0,2,1,86,3,21/22
Patson Daka,zm ZAM,FW,Leicester City,22,1998,12.9,370,10,31,170,171,50,370,16,3,18.8,13,81.3,195,766,299,10,4,3,42,18,244,66,21/22
Stuart Dallas,nir NIR,DFMF,Leeds United,30,1991,32.4,2056,103,665,923,504,28,2056,43,29,67.4,14,32.6,985,5629,3146,82,53,8,39,25,1113,79,21/22
Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,20,1422,86,450,649,337,27,1422,25,17,68,8,32,734,3825,2193,53,29,13,25,8,826,75,21/22
Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8,266,214,262,4,0,0,266,0,0,,0,,137,793,437,0,0,0,0,0,92,0,21/22
Josh Dasilva,eng ENG,MFFW,Brentford,22,1998,2.9,123,10,28,54,42,6,123,11,7,63.6,4,36.4,74,562,333,10,6,3,5,5,66,10,21/22
Ben Davies,wls WAL,DF,Tottenham,28,1993,28.2,1888,140,727,906,266,31,1888,11,7,63.6,4,36.4,1211,7055,4295,62,61,0,22,10,1344,60,21/22
Tom Davies,eng ENG,MF,Everton,23,1998,2.6,124,10,31,62,32,9,124,3,2,66.7,1,33.3,59,206,79,1,0,1,6,1,68,3,21/22
Keinan Davis,eng ENG,FW,Aston Villa,23,1998,0.1,5,0,0,3,2,0,5,0,0,,0,,7,13,6,0,0,0,2,1,7,1,21/22
Craig Dawson,eng ENG,DF,West Ham,31,1990,30.6,1606,273,844,691,73,45,1606,4,4,100,0,0,892,3899,2085,4,4,0,10,5,970,3,21/22
Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,24.5,1821,25,127,685,1027,107,1821,55,31,56.4,24,43.6,1126,5397,3213,84,85,20,40,20,1350,175,21/22
Troy Deeney,eng ENG,FW,Watford,33,1988,0.3,12,2,2,1,9,5,12,0,0,,0,,2,5,3,0,0,0,1,0,10,5,21/22
Liam Delap,eng ENG,FW,Manchester City,18,2003,0.1,1,0,0,1,0,0,1,0,0,,0,,1,1,0,0,0,0,0,0,1,0,21/22
Fabian Delph,eng ENG,MF,Everton,31,1989,7.4,382,20,103,231,50,0,382,7,5,71.4,2,28.6,215,868,337,2,2,0,8,0,226,3,21/22
Leander Dendoncker,be BEL,MF,Wolves,26,1995,21.7,1024,59,282,542,203,33,1024,10,5,50,5,50,461,1863,722,9,14,0,25,9,651,45,21/22
Emmanuel Dennis,ng NGA,FWMF,Watford,23,1997,28.7,1078,22,134,414,556,131,1078,156,68,43.6,88,56.4,644,4553,2346,90,53,48,107,63,706,172,21/22
Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,22,1998,23.4,1516,47,286,756,498,41,1516,49,30,61.2,19,38.8,910,5877,3083,82,66,7,56,46,1076,98,21/22
Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,11.4,546,23,93,318,143,10,546,21,16,76.2,5,23.8,321,1717,855,17,24,1,18,13,360,20,21/22
Rúben Dias,pt POR,DF,Manchester City,24,1997,26.7,2471,151,777,1606,92,33,2471,4,2,50,2,50,1715,9468,6448,33,17,0,9,3,1977,4,21/22
Luis Díaz,co COL,FW,Liverpool,24,1997,10.6,595,4,32,219,349,77,595,49,31,63.3,18,36.7,399,2712,1293,53,22,31,27,26,476,127,21/22
Eric Dier,eng ENG,DF,Tottenham,27,1994,34.1,2610,421,1452,1111,57,23,2610,2,1,50,1,50,1737,9384,5011,13,13,3,5,2,1971,6,21/22
Lucas Digne,fr FRA,DF,Aston Villa,28,1993,14.1,978,63,285,332,369,21,978,13,3,23.1,10,76.9,495,2252,1148,34,28,3,13,13,544,121,21/22
Lucas Digne,fr FRA,DF,Everton,28,1993,13,829,44,277,305,258,15,829,17,8,47.1,9,52.9,356,2006,936,25,16,1,9,6,389,47,21/22
Issa Diop,fr FRA,DF,West Ham,24,1997,10.7,572,81,312,254,11,7,572,0,0,,0,,311,1630,859,4,0,0,2,1,353,1,21/22
Moussa Djenepo,ml MLI,MF,Southampton,23,1998,5.1,246,7,32,93,123,26,246,29,12,41.4,17,58.6,155,1221,522,20,8,13,23,9,150,30,21/22
Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,0.4,13,0,1,7,5,2,13,1,0,0,1,100,10,75,41,1,0,2,1,1,8,2,21/22
Matt Doherty,ie IRL,DF,Tottenham,29,1992,9.7,644,35,183,260,204,32,644,10,6,60,4,40,382,2090,1017,29,16,9,17,6,420,80,21/22
Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,34,2343,312,1150,1106,100,47,2343,4,4,100,0,0,1554,8318,5214,12,14,1,18,5,1700,9,21/22
Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,28.2,1390,63,329,745,339,44,1390,41,21,51.2,20,48.8,694,3500,1770,33,28,6,43,22,764,54,21/22
Kieran Dowell,eng ENG,FWMF,Norwich City,23,1997,10.1,415,6,60,171,189,13,415,14,7,50,7,50,218,1086,437,14,8,3,13,15,284,49,21/22
Cody Drameh,eng ENG,DFMF,Leeds United,19,2001,1.4,101,4,40,42,19,2,101,4,2,50,2,50,37,216,78,3,2,0,5,0,45,3,21/22
Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26,895,688,887,9,0,0,895,0,0,,0,,462,2679,1338,0,0,0,0,0,324,0,21/22
Shane Duffy,ie IRL,DF,Brighton,29,1992,16,1218,189,678,492,52,31,1218,1,1,100,0,0,627,2379,1312,3,7,0,7,0,851,3,21/22
Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,2.2,96,9,33,51,12,0,96,0,0,,0,,33,128,36,0,1,0,1,0,37,2,21/22
Lewis Dunk,eng ENG,DF,Brighton,29,1991,28.6,2197,281,1180,949,76,37,2197,4,4,100,0,0,1306,5934,2863,14,7,2,11,3,1575,3,21/22
Ederson,br BRA,GK,Manchester City,27,1993,37,1169,906,1159,10,0,0,1169,0,0,,0,,795,3425,2214,0,0,0,0,0,714,0,21/22
Odsonne Édouard,fr FRA,FW,Crystal Palace,23,1998,17.4,679,20,71,303,316,82,678,67,30,44.8,37,55.2,381,2143,1122,42,24,16,62,27,479,109,21/22
CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,21/22
Anthony Elanga,se SWE,FW,Manchester Utd,19,2002,13.5,619,11,111,214,296,56,619,31,11,35.5,20,64.5,354,2063,993,32,24,10,37,15,447,114,21/22
Harvey Elliott,eng ENG,MF,Liverpool,18,2003,3.8,302,1,23,130,151,19,302,9,2,22.2,7,77.8,174,882,486,10,15,2,8,0,226,38,21/22
Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,9,630,33,145,391,97,3,630,1,0,0,1,100,365,1508,713,5,4,1,4,3,467,2,21/22
Mohamed Elyounoussi,no NOR,MFFW,Southampton,26,1994,22.7,933,37,133,370,443,84,933,45,28,62.2,17,37.8,485,3240,1513,59,52,13,63,38,594,124,21/22
Emerson,br BRA,DFMF,Tottenham,22,1999,25.4,1765,98,579,666,530,56,1765,34,17,50,17,50,911,4344,2277,68,28,8,27,18,1019,175,21/22
Christian Eriksen,dk DEN,MF,Brentford,29,1992,10.4,740,18,137,374,238,12,740,16,8,50,8,50,409,1889,1044,21,16,3,18,9,475,22,21/22
Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,4.5,204,15,65,130,12,0,204,10,6,60,4,40,106,548,248,3,1,0,3,2,123,1,21/22
Jonny Evans,nir NIR,DF,Leicester City,33,1988,15,1147,154,632,484,38,12,1147,3,2,66.7,1,33.3,657,2803,1537,1,3,0,4,0,747,4,21/22
Eberechi Eze,eng ENG,MFFW,Crystal Palace,23,1998,6.7,376,4,48,190,143,11,376,23,14,60.9,9,39.1,222,1381,662,20,16,3,20,10,262,38,21/22
Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37,1084,978,1081,3,0,0,1084,0,0,,0,,593,3722,2293,0,0,0,0,1,414,0,21/22
Fabinho,br BRA,MF,Liverpool,27,1993,25.7,1788,42,343,1175,281,21,1786,15,11,73.3,4,26.7,942,3953,1874,18,27,1,24,13,1231,37,21/22
Kiko Femenía,es ESP,DF,Watford,30,1991,23.8,1431,101,455,569,418,11,1431,14,7,50,7,50,611,3099,1626,40,34,6,41,7,667,48,21/22
Evan Ferguson,ie IRL,MF,Brighton,16,2004,0.3,7,0,0,2,5,1,7,0,0,,0,,1,0,0,0,0,0,1,0,7,1,21/22
Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,0.1,5,0,4,1,0,0,5,0,0,,0,,1,5,0,0,0,0,0,0,1,0,21/22
Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,34.6,2445,64,359,1135,965,100,2443,52,26,50,26,50,1450,6657,3514,78,65,24,46,40,1799,190,21/22
Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,546,422,540,6,0,0,546,0,0,,0,,340,1672,890,0,0,0,1,0,280,0,21/22
Federico Fernández,ar ARG,DF,Newcastle Utd,32,1989,5.8,265,53,157,100,11,8,265,0,0,,0,,152,619,311,0,0,0,1,0,169,1,21/22
Fernandinho,br BRA,MFDF,Manchester City,36,1985,10.7,927,35,172,622,137,17,927,11,9,81.8,2,18.2,637,2931,1483,16,18,0,6,7,742,11,21/22
Roberto Firmino,br BRA,FW,Liverpool,29,1991,11,664,4,49,302,322,68,664,33,17,51.5,16,48.5,370,1882,883,27,24,6,33,25,500,100,21/22
Junior Firpo,es ESP,DFMF,Leeds United,24,1996,19,1152,60,346,562,257,38,1152,28,16,57.1,12,42.9,585,2858,1718,36,29,2,17,7,670,72,21/22
Ashley Fletcher,eng ENG,FW,Watford,25,1995,0.3,14,1,2,5,7,2,14,0,0,,0,,10,53,31,1,1,1,1,1,10,1,21/22
Phil Foden,eng ENG,FW,Manchester City,21,2000,23.6,1303,6,66,426,820,137,1303,58,37,63.8,21,36.2,872,4436,1941,71,43,39,48,34,1023,248,21/22
Wesley Fofana,fr FRA,DF,Leicester City,20,2000,7,594,55,305,275,19,5,594,3,3,100,0,0,434,2958,1710,10,9,1,5,2,439,1,21/22
Pablo Fornals,es ESP,FWMF,West Ham,25,1996,31.1,1731,33,262,819,665,65,1731,54,23,42.6,31,57.4,981,4917,2219,49,37,11,47,28,1184,200,21/22
Adam Forshaw,eng ENG,MF,Leeds United,29,1991,17,995,25,265,578,167,9,995,19,12,63.2,7,36.8,539,2507,1137,19,12,2,24,11,629,26,21/22
Marcus Forss,fi FIN,FWMF,Brentford,22,1999,2.3,69,0,2,39,28,6,69,4,1,25,3,75,29,126,44,2,0,0,9,1,37,12,21/22
Fraser Forster,eng ENG,GK,Southampton,33,1988,19,673,513,669,4,0,0,673,0,0,,0,,336,2160,1197,0,0,0,0,0,260,0,21/22
Ben Foster,eng ENG,GK,Watford,38,1983,26,940,719,925,16,0,0,940,1,1,100,0,0,450,2800,1448,0,0,0,0,0,338,0,21/22
Tariqe Fosu,gh GHA,DF,Brentford,25,1995,0.2,10,0,0,3,7,3,10,0,0,,0,,7,62,53,3,1,1,0,0,8,4,21/22
Ryan Fraser,sct SCO,FWMF,Newcastle Utd,27,1994,16.3,590,22,102,192,301,42,590,4,1,25,3,75,370,1823,970,35,23,11,22,11,410,86,21/22
Fred,br BRA,MF,Manchester Utd,28,1993,22.5,1623,65,392,965,275,17,1623,36,21,58.3,15,41.7,840,3252,1564,17,16,1,41,25,1093,41,21/22
Ryan Fredericks,eng ENG,DF,West Ham,28,1992,3.4,172,14,50,78,44,2,172,1,0,0,1,100,87,343,188,4,3,0,2,1,99,14,21/22
Leo Fuhr Hjelde,no NOR,MFDF,Leeds United,17,2003,1.7,130,9,55,60,16,1,130,0,0,,0,,59,178,89,1,1,0,2,0,63,4,21/22
Conor Gallagher,eng ENG,MF,Crystal Palace,21,2000,31.6,1578,45,285,737,579,80,1578,75,42,56,33,44,829,3922,1514,42,23,12,62,50,933,118,21/22
Alejandro Garnacho,es ESP,FWMF,Manchester Utd,17,2004,0.1,3,0,0,2,1,0,3,0,0,,0,,3,20,10,0,0,0,0,0,3,0,21/22
Dwight Gayle,eng ENG,FWDF,Newcastle Utd,30,1990,0.4,22,0,0,10,12,3,22,0,0,,0,,8,34,26,0,1,0,1,0,17,4,21/22
Jean-Philippe Gbamin,ci CIV,MF,Everton,25,1995,0.7,31,1,7,23,1,0,31,3,2,66.7,1,33.3,15,106,51,1,0,0,2,2,21,0,21/22
David de Gea,es ESP,GK,Manchester Utd,30,1990,38,1020,928,1019,1,0,0,1020,0,0,,0,,466,2450,1468,0,0,0,0,0,371,0,21/22
Joe Gelhardt,eng ENG,FWMF,Leeds United,19,2002,8.3,274,5,17,123,137,44,274,29,17,58.6,12,41.4,158,869,463,17,12,11,30,19,199,55,21/22
Anwar El Ghazi,nl NED,FWMF,Aston Villa,26,1995,4.3,181,4,18,58,110,14,180,10,4,40,6,60,114,754,314,13,7,5,22,7,134,38,21/22
Anwar El Ghazi,nl NED,FWMF,Everton,26,1995,0.1,14,0,1,5,8,2,14,1,0,0,1,100,6,96,14,2,0,2,1,0,8,2,21/22
Saman Ghoddos,ir IRN,MFDF,Brentford,27,1993,6,296,17,60,125,118,19,296,7,5,71.4,2,28.6,147,591,337,7,3,1,14,4,159,40,21/22
Dimitris Giannoulis,gr GRE,DF,Norwich City,25,1995,13,894,68,339,395,173,10,894,46,29,63,17,37,479,2788,1726,33,16,4,24,11,484,58,21/22
Morgan Gibbs-White,eng ENG,DFFW,Wolves,21,2000,0.1,14,0,4,3,7,3,14,0,0,,0,,4,6,4,0,0,0,0,0,7,2,21/22
Ben Gibson,eng ENG,DF,Norwich City,28,1993,27.7,1640,336,1009,591,46,22,1640,7,5,71.4,2,28.6,966,4380,2686,11,8,0,6,2,1071,0,21/22
Billy Gilmour,sct SCO,MF,Norwich City,20,2001,20.6,1423,44,359,778,301,5,1423,22,15,68.2,7,31.8,841,4409,1888,30,23,0,29,11,958,17,21/22
Ben Godfrey,eng ENG,DF,Everton,23,1998,22.5,1080,141,499,443,148,23,1080,12,9,75,3,25,456,2466,1280,23,24,0,24,4,521,26,21/22
André Gomes,pt POR,MF,Everton,28,1993,6.9,376,14,64,211,107,6,376,18,12,66.7,6,33.3,196,858,445,6,8,1,21,16,224,13,21/22
Toti Gomes,pt POR,DF,Wolves,22,1999,4,255,30,114,126,18,4,255,6,5,83.3,1,16.7,148,783,474,2,3,1,3,2,153,2,21/22
Joe Gomez,eng ENG,DF,Liverpool,24,1997,3.7,332,4,64,168,103,6,332,8,4,50,4,50,163,757,338,11,10,2,5,2,206,29,21/22
Charlie Goode,eng ENG,DF,Brentford,25,1995,5,339,20,114,160,66,10,339,7,5,71.4,2,28.6,145,755,419,5,3,0,3,1,164,9,21/22
Anthony Gordon,eng ENG,MFFW,Everton,20,2001,25.4,1116,21,163,386,592,78,1116,80,38,47.5,42,52.5,602,4905,2291,74,53,31,74,37,674,137,21/22
Kaide Gordon,eng ENG,FW,Liverpool,16,2004,0.1,7,0,0,4,3,0,7,1,0,0,1,100,3,34,14,1,0,0,0,1,6,3,21/22
Dan Gosling,eng ENG,MF,Watford,31,1990,1.8,83,9,29,38,18,4,83,2,2,100,0,0,45,262,102,2,1,1,2,1,50,5,21/22
Demarai Gray,eng ENG,MFFW,Everton,25,1996,26,1093,18,117,377,624,87,1093,106,55,51.9,50,47.2,655,5185,2405,93,59,38,70,36,717,169,21/22
Jack Grealish,eng ENG,FW,Manchester City,25,1995,21.3,1173,15,68,359,761,162,1173,68,40,58.8,28,41.2,906,7308,3915,153,74,83,31,29,997,267,21/22
Mason Greenwood,eng ENG,FWMF,Manchester Utd,19,2001,14.1,652,6,78,277,310,60,652,52,32,61.5,20,38.5,425,3069,1586,48,31,23,26,16,509,109,21/22
Sam Greenwood,eng ENG,MFFW,Leeds United,19,2002,2.6,106,2,14,61,33,6,106,5,2,40,3,60,55,252,88,3,2,1,1,0,59,10,21/22
Pascal Groß,de GER,MFDF,Brighton,30,1991,22.6,1537,43,227,697,618,61,1536,18,9,50,9,50,796,3313,1486,39,35,7,27,15,1001,141,21/22
Vicente Guaita,es ESP,GK,Crystal Palace,34,1987,29.5,1033,912,1030,3,0,0,1033,0,0,,0,,622,3147,1886,0,0,0,1,0,485,0,21/22
Marc Guéhi,eng ENG,DF,Crystal Palace,21,2000,35.8,2654,376,1512,1070,82,32,2654,13,12,92.3,1,7.7,1663,7932,4727,17,15,0,14,7,1925,7,21/22
Bruno Guimarães,br BRA,MF,Newcastle Utd,23,1997,11.5,701,31,162,377,176,21,701,40,22,55,18,45,426,2333,795,18,15,4,24,29,462,15,21/22
İlkay Gündoğan,de GER,MF,Manchester City,30,1990,20.6,1522,25,157,785,599,82,1522,35,24,68.6,11,31.4,902,4727,2052,60,45,13,25,19,1209,107,21/22
Angus Gunn,sct SCO,GK,Norwich City,25,1996,9,343,290,341,2,0,0,343,0,0,,0,,166,909,488,0,0,0,0,0,112,0,21/22
